"TargetID" "Type"
"cg18827738" "low"
"cg18889183" "low"
"cg18907202" "low"
"cg18936022" "low"
"cg18957484" "low"
"cg19345165" "low"
"cg19359929" "low"
"cg19493827" "low"
"cg19523931" "low"
"cg19593314" "low"
"cg19634332" "low"
"cg19648896" "low"
"cg19657723" "low"
"cg19845159" "low"
"cg19857280" "low"
"cg20066120" "low"
"cg20098514" "low"
"cg20141910" "low"
"cg20263435" "low"
"cg20275925" "low"
"cg20390702" "low"
"cg20421914" "low"
"cg20442619" "low"
"cg20530339" "low"
"cg20797740" "low"
"cg20824576" "low"
"cg20846042" "low"
"cg20946056" "low"
"cg20963592" "low"
"cg21045841" "low"
"cg21124552" "low"
"cg21283714" "low"
"cg21288778" "low"
"cg21389025" "low"
"cg21560774" "low"
"cg21573582" "low"
"cg21650694" "low"
"cg21703068" "low"
"cg21711672" "low"
"cg21784498" "low"
"cg21882650" "low"
"cg21898799" "low"
"cg21899138" "low"
"cg21972156" "low"
"cg22122462" "low"
"cg22799902" "low"
"cg22913584" "low"
"cg22958459" "low"
"cg23012552" "low"
"cg23128025" "low"
"cg23214606" "low"
"cg23260635" "low"
"cg23290834" "low"
"cg23453420" "low"
"cg23494874" "low"
"cg23500774" "low"
"cg23618323" "low"
"cg23729479" "low"
"cg23823879" "low"
"cg23975441" "low"
"cg24000099" "low"
"cg24203234" "low"
"cg24240567" "low"
"cg24250549" "low"
"cg24396271" "low"
"cg24427016" "low"
"cg24481633" "low"
"cg24493334" "low"
"cg24642196" "low"
"cg24701295" "low"
"cg24711626" "low"
"cg24719901" "low"
"cg24865292" "low"
"cg24953233" "low"
"cg25083496" "low"
"cg25107077" "low"
"cg25161976" "low"
"cg25355972" "low"
"cg25356066" "low"
"cg25385412" "low"
"cg25410318" "low"
"cg25510282" "low"
"cg25539011" "low"
"cg25552655" "low"
"cg25575464" "low"
"cg25580306" "low"
"cg25697800" "low"
"cg25713821" "low"
"cg25803766" "low"
"cg26172907" "low"
"cg26243254" "low"
"cg26266931" "low"
"cg26338873" "low"
"cg26366347" "low"
"cg26421286" "low"
"cg26534856" "low"
"cg26549552" "low"
"cg26662579" "low"
"cg26733385" "low"
"cg27322556" "low"
"cg27479134" "low"
"cg27561072" "low"
"cg27597504" "low"
"cg27598656" "low"
"cg27631621" "low"
